epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
48,44367,2.24477,3.01686,2.02636,1.27924,0,0.3789,0.39667,0.36348,0.15597,0.33707,0.34924,0.2932,0.11371,2.24472,2.92195,2.10665,1.36394,0,0.000891345,0.000891345,0.000891345
49,45280.7,2.25684,3.01225,2.05699,1.30006,0,0.40226,0.41612,0.38725,0.17232,0.37152,0.37201,0.32528,0.1318,2.23451,2.93687,2.07277,1.34378,0,0.000874842,0.000874842,0.000874842
50,46204.2,2.22715,2.96758,2.00115,1.28661,0,0.39449,0.41461,0.37613,0.17478,0.37132,0.37775,0.34184,0.14166,2.2725,2.9078,2.10702,1.38837,0,0.000858338,0.000858338,0.000858338
51,47115.8,2.21149,2.93341,2.00637,1.2696,0,0.43041,0.40952,0.39264,0.17533,0.40768,0.36827,0.33989,0.14467,2.19986,2.86103,2.00838,1.31898,0,0.000841835,0.000841835,0.000841835
52,48029.1,2.2175,3.01568,1.98076,1.26422,0,0.36682,0.43524,0.39142,0.17289,0.35381,0.39501,0.34362,0.13358,2.23433,2.88253,2.09757,1.32043,0,0.000825332,0.000825332,0.000825332
53,48938.8,2.22573,2.98904,2.01559,1.26629,0,0.36199,0.44178,0.38006,0.17196,0.33347,0.4026,0.32418,0.1293,2.18286,2.84404,2.09782,1.30557,0,0.000808828,0.000808828,0.000808828
54,49854.9,2.25213,2.97913,2.00651,1.28168,0,0.39852,0.40608,0.3824,0.1763,0.37938,0.35656,0.32774,0.13895,2.18323,2.89688,2.03585,1.3261,0,0.000792325,0.000792325,0.000792325
55,50764.5,2.20045,2.96175,2.01718,1.27434,0,0.37208,0.42193,0.38012,0.17194,0.35235,0.35901,0.31623,0.1294,2.21734,2.89554,2.05585,1.35455,0,0.000775822,0.000775822,0.000775822
56,51670.8,2.18476,2.92451,1.97041,1.27174,0,0.4015,0.43885,0.40071,0.18498,0.37253,0.40259,0.3606,0.15022,2.2296,2.85112,2.03315,1.33811,0,0.000759318,0.000759318,0.000759318
57,52577.6,2.18817,2.95418,1.95644,1.25395,0,0.42088,0.41475,0.40088,0.1859,0.41795,0.38652,0.3655,0.15259,2.20706,2.88013,1.99642,1.32378,0,0.000742815,0.000742815,0.000742815
58,53495.5,2.2065,2.97841,1.98144,1.25614,0,0.38251,0.45627,0.40107,0.18076,0.36236,0.41457,0.3518,0.14455,2.19045,2.81721,2.01519,1.31475,0,0.000726312,0.000726312,0.000726312
59,54405.4,2.21372,2.97101,2.00141,1.27693,0,0.4088,0.43627,0.3957,0.17988,0.40516,0.38839,0.34931,0.14033,2.18957,2.82428,2.02624,1.34286,0,0.000709809,0.000709809,0.000709809
60,55314.6,2.18401,2.95023,1.95949,1.25888,0,0.3999,0.44761,0.41017,0.18961,0.38459,0.41015,0.36597,0.15335,2.18141,2.81016,1.99086,1.30972,0,0.000693305,0.000693305,0.000693305
61,56222.9,2.1755,2.92115,1.94958,1.26372,0,0.3961,0.43595,0.40244,0.18397,0.39859,0.39993,0.37302,0.1501,2.18276,2.85251,2.01792,1.3284,0,0.000676802,0.000676802,0.000676802
62,57134.5,2.14456,2.94836,1.9176,1.24438,0,0.42366,0.43254,0.40525,0.17978,0.38752,0.3854,0.34849,0.14252,2.17427,2.85785,2.00322,1.30635,0,0.000660299,0.000660299,0.000660299
63,58043.3,2.18218,2.95474,1.95518,1.25835,0,0.39706,0.43382,0.39128,0.17243,0.37337,0.38046,0.33387,0.13784,2.19508,2.81564,2.00419,1.33513,0,0.000643795,0.000643795,0.000643795
64,58953.6,2.14255,2.92395,1.92816,1.24975,0,0.40418,0.41808,0.38701,0.17438,0.39805,0.37435,0.34688,0.13829,2.19397,2.86945,2.05954,1.32441,0,0.000627292,0.000627292,0.000627292
65,59862.5,2.19189,2.98056,1.95838,1.24564,0,0.40289,0.40987,0.39332,0.17543,0.37601,0.34837,0.32705,0.1409,2.17202,2.86701,2.00484,1.30982,0,0.000610789,0.000610789,0.000610789
66,60781.2,2.1619,2.89498,1.91886,1.2519,0,0.42272,0.43018,0.39213,0.16638,0.38811,0.3601,0.33523,0.1333,2.18779,2.84343,2.02026,1.3177,0,0.000594286,0.000594286,0.000594286
67,61699.9,2.158,2.89783,1.93709,1.24393,0,0.3987,0.44108,0.38919,0.17548,0.37087,0.38492,0.33819,0.13955,2.1927,2.80847,2.00362,1.34327,0,0.000577782,0.000577782,0.000577782
68,62611.6,2.1614,2.93851,1.91057,1.25774,0,0.42468,0.39807,0.38359,0.17397,0.39187,0.35374,0.32933,0.13654,2.15687,2.8392,1.98597,1.30752,0,0.000561279,0.000561279,0.000561279
69,63521.5,2.16474,2.87776,1.91383,1.24076,0,0.40329,0.43119,0.39495,0.17815,0.39468,0.39269,0.36138,0.14963,2.14726,2.79103,1.99597,1.28974,0,0.000544776,0.000544776,0.000544776
70,64457.6,2.14918,2.8625,1.91085,1.2373,0,0.41461,0.44546,0.41494,0.18961,0.37688,0.41071,0.36589,0.15116,2.1262,2.78718,1.97881,1.29562,0,0.000528272,0.000528272,0.000528272
71,65405.3,2.18815,2.91691,1.94774,1.25595,0,0.40645,0.44397,0.41247,0.1853,0.38961,0.39341,0.36398,0.1541,2.16666,2.77899,1.96969,1.30857,0,0.000511769,0.000511769,0.000511769
72,66359.4,2.1118,2.89018,1.89106,1.24,0,0.41604,0.43107,0.40444,0.18285,0.39585,0.38547,0.35346,0.14804,2.15305,2.81548,1.98183,1.30313,0,0.000495266,0.000495266,0.000495266
73,67310.9,2.13947,2.89367,1.90111,1.24224,0,0.41439,0.42252,0.3829,0.17018,0.3611,0.36323,0.31898,0.1294,2.17309,2.8622,2.09795,1.30525,0,0.000478762,0.000478762,0.000478762
74,68239.1,2.14641,2.88567,1.90085,1.24668,0,0.41381,0.44329,0.42021,0.19244,0.40272,0.39985,0.36106,0.15454,2.17017,2.78441,1.96385,1.30269,0,0.000462259,0.000462259,0.000462259
75,69173.2,2.10625,2.85949,1.85574,1.23623,0,0.42554,0.43722,0.40043,0.18888,0.3934,0.39828,0.3578,0.15452,2.14765,2.80886,1.97044,1.30448,0,0.000445756,0.000445756,0.000445756
76,70107.6,2.12698,2.89033,1.86404,1.24173,0,0.44023,0.44177,0.41466,0.18233,0.42121,0.38836,0.36102,0.14956,2.17088,2.78396,1.95488,1.3164,0,0.000429253,0.000429253,0.000429253
77,71046,2.11427,2.84543,1.86577,1.22952,0,0.43911,0.4259,0.40602,0.19228,0.41833,0.39729,0.37479,0.16191,2.14365,2.75865,1.96652,1.30232,0,0.000412749,0.000412749,0.000412749
78,71985.7,2.11116,2.87387,1.85467,1.22715,0,0.43406,0.44544,0.41136,0.18975,0.43045,0.39042,0.37358,0.16008,2.15012,2.78962,1.95354,1.30552,0,0.000396246,0.000396246,0.000396246
79,72924.6,2.11066,2.88054,1.86062,1.23057,0,0.40111,0.46008,0.40558,0.1899,0.3752,0.43333,0.37446,0.15916,2.13042,2.7649,1.9316,1.29411,0,0.000379743,0.000379743,0.000379743
80,73856.7,2.10633,2.877,1.84896,1.23018,0,0.43137,0.43912,0.41859,0.19658,0.42943,0.40745,0.38289,0.16237,2.1428,2.79148,1.95117,1.29461,0,0.000363239,0.000363239,0.000363239
81,74798.5,2.15199,2.91932,1.89935,1.23967,0,0.44225,0.4574,0.43781,0.20585,0.42469,0.41513,0.38879,0.16955,2.14957,2.77725,1.94014,1.30707,0,0.000346736,0.000346736,0.000346736
82,75746.8,2.1062,2.85975,1.84301,1.22014,0,0.41001,0.47598,0.4253,0.1901,0.40336,0.42058,0.37575,0.15475,2.14435,2.78835,1.95187,1.29279,0,0.000330233,0.000330233,0.000330233
